Document date,TotalCollection,lag_1,lag_2,lag_3,lag_7,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_median_3,rolling_mean_7,rolling_std_7,ewm_3,ewm_7,diff_1,diff_7,Date,dayofweek,month,day,is_weekend,is_monday,is_friday,is_holiday,is_before_holiday,is_after_holiday
2023-04-18,1.7040894179600003E9,2.12316075375E9,1.9344805250000004E7,7.437020052299999E8,1.3618504931100006E9,1.2821983256533334E9,1.113554873644098E9,2.12316075375E9,1.9344805250000004E7,1.7040894179600003E9,1.1134532912299998E9,7.486672629161131E8,1.4868910424695277E9,1.2204494964663293E9,-4.190713357899997E8,3.4223892484999967E8,2023-04-18T00:00:00.000Z,1,4,18,0,0,0,0,0,0
2023-04-19,1.1403556731399999E9,1.7040894179600003E9,2.12316075375E9,1.9344805250000004E7,1.4402083033400002E9,1.65586861495E9,4.931737939108324E8,2.12316075375E9,1.1403556731399999E9,1.7040894179600003E9,1.0706172012014284E9,7.353147182584136E8,1.3136233578047638E9,1.200426040634747E9,-5.637337448200004E8,-2.998526302000003E8,2023-04-19T00:00:00.000Z,2,4,19,0,0,0,0,0,0
2023-04-20,1.1934598505400002E9,1.1403556731399999E9,1.7040894179600003E9,2.12316075375E9,1.354487286689999E9,1.34596831388E9,3.1127649655080235E8,1.7040894179600003E9,1.1403556731399999E9,1.1934598505400002E9,1.0476132817514286E9,7.274304363322879E8,1.2535416041723819E9,1.1986844931110604E9,5.3104177400000334E7,-1.610274361499989E8,2023-04-20T00:00:00.000Z,3,4,20,0,0,0,0,0,0
2023-04-21,1.2778295192299995E9,1.1934598505400002E9,1.1403556731399999E9,1.7040894179600003E9,4.0918046638999987E8,1.20388168097E9,6.932694643375225E7,1.2778295192299995E9,1.1403556731399999E9,1.1934598505400002E9,1.171706003585714E9,6.723764160545635E8,1.2656855617011907E9,1.2184707496407952E9,8.436966868999934E7,8.686490528399997E8,2023-04-21T00:00:00.000Z,4,4,21,0,0,1,0,0,0
2023-04-22,1.1061898009000002E8,1.2778295192299995E9,1.1934598505400002E9,1.1403556731399999E9,7.437020052299999E8,8.606361166199999E8,6.50902326824241E8,1.2778295192299995E9,1.1061898009000002E8,1.1934598505400002E9,1.081265571422857E9,7.743817120378643E8,6.881522708955953E8,9.415078072530965E8,-1.1672105391399996E9,-6.330830251399999E8,2023-04-22T00:00:00.000Z,5,4,22,1,0,0,0,0,0
2023-04-23,1.1320672590000002E7,1.1061898009000002E8,1.2778295192299995E9,1.1934598505400002E9,1.9344805250000004E7,4.6658972396999997E8,7.043064265844852E8,1.2778295192299995E9,1.1320672590000002E7,1.1061898009000002E8,1.0801192667571428E9,7.762194052414951E8,3.497364717427977E8,7.089610235873224E8,-9.929830750000001E7,-8024132.660000002,2023-04-23T00:00:00.000Z,6,4,23,1,0,0,0,0,0
2023-04-24,2.2687608574500003E9,1.1320672590000002E7,1.1061898009000002E8,1.2778295192299995E9,2.12316075375E9,7.969001700433335E8,1.2756353126258347E9,2.2687608574500003E9,1.1320672590000002E7,1.1061898009000002E8,1.1009192815714285E9,8.100415826428723E8,1.309248664596399E9,1.0989109820529919E9,2.25744018486E9,1.456001037000003E8,2023-04-24T00:00:00.000Z,0,4,24,0,1,0,0,0,0
2023-04-25,2.4528482267500005E9,2.2687608574500003E9,1.1320672590000002E7,1.1061898009000002E8,1.7040894179600003E9,1.5776432522633336E9,1.3595943724434295E9,2.4528482267500005E9,1.1320672590000002E7,2.2687608574500003E9,1.2078848256842856E9,9.417015149586533E8,1.8810484456731997E9,1.437395293227244E9,1.840873693000002E8,7.487588087900002E8,2023-04-25T00:00:00.000Z,1,4,25,0,0,0,0,0,0
2023-04-26,1.4723675813999996E9,2.4528482267500005E9,2.2687608574500003E9,1.1320672590000002E7,1.1403556731399999E9,2.0646588885333335E9,5.211322138030158E8,2.4528482267500005E9,1.4723675813999996E9,2.2687608574500003E9,1.255315098292857E9,9.460843854154961E8,1.6767080135365996E9,1.446138365270433E9,-9.804806453500009E8,3.3201190825999975E8,2023-04-26T00:00:00.000Z,2,4,26,0,0,0,0,0,0
2023-04-27,1.3199718334999998E9,1.4723675813999996E9,2.4528482267500005E9,2.2687608574500003E9,1.1934598505400002E9,1.7483958805500002E9,6.148137498824446E8,2.4528482267500005E9,1.3199718334999998E9,1.4723675813999996E9,1.2733882387157142E9,9.459141908635238E8,1.4983399235182996E9,1.4145967323278246E9,-1.5239574789999986E8,1.2651198295999956E8,2023-04-27T00:00:00.000Z,3,4,27,0,0,0,0,0,0
2023-04-28,1.9337210420900009E9,1.3199718334999998E9,1.4723675813999996E9,2.4528482267500005E9,1.2778295192299995E9,1.5753534856633337E9,3.195725193425037E8,1.9337210420900009E9,1.3199718334999998E9,1.4723675813999996E9,1.3670870276957145E9,9.783562220809691E8,1.71603048280415E9,1.5443778097683687E9,6.137492085900011E8,6.558915228600013E8,2023-04-28T00:00:00.000Z,4,4,28,0,0,1,0,0,0
2023-04-29,9.1343965291E8,1.9337210420900009E9,1.3199718334999998E9,1.4723675813999996E9,1.1061898009000002E8,1.389044176166667E9,5.1363583370697945E8,1.9337210420900009E9,9.1343965291E8,1.3199718334999998E9,1.4817756952414286E9,8.444026425486889E8,1.314735067857075E9,1.3866432705537765E9,-1.0202813891800009E9,8.028206728199999E8,2023-04-29T00:00:00.000Z,5,4,29,1,0,0,0,0,0
2023-04-30,4.727842055E7,9.1343965291E8,1.9337210420900009E9,1.3199718334999998E9,1.1320672590000002E7,9.64813038516667E8,9.442700141655442E8,1.9337210420900009E9,4.727842055E7,9.1343965291E8,1.4869125163785717E9,8.340118589680256E8,6.810067442035375E8,1.0518020580528324E9,-8.6616123236E8,3.595774795999999E7,2023-04-30T00:00:00.000Z,6,4,30,1,0,0,0,0,0
2023-05-01,2.5638111662E8,4.727842055E7,9.1343965291E8,1.9337210420900009E9,2.2687608574500003E9,4.056997300266668E8,4.5197439788456756E8,9.1343965291E8,4.727842055E7,2.5638111662E8,1.19942969626E9,8.658185702663276E8,4.6869393041176873E8,8.529468226946242E8,2.0910269607E8,-2.0123797408300004E9,2023-05-01T00:00:00.000Z,0,5,1,0,1,0,0,0,0
2023-05-02,2.0360847253499997E9,2.5638111662E8,4.727842055E7,9.1343965291E8,2.4528482267500005E9,7.799147541733333E8,1.0928875659190323E9,2.0360847253499997E9,4.727842055E7,2.5638111662E8,1.1398920532028573E9,7.748087170659654E8,1.2523893278808842E9,1.148731298358468E9,1.7797036087299995E9,-4.167635014000008E8,2023-05-02T00:00:00.000Z,1,5,2,0,0,0,0,0,0
2023-05-03,1.74540528073E9,2.0360847253499997E9,2.5638111662E8,4.727842055E7,1.4723675813999996E9,1.3459570408999999E9,9.547279224779748E8,2.0360847253499997E9,2.5638111662E8,1.74540528073E9,1.1788974388214285E9,8.007733386502116E8,1.498897304305442E9,1.2978997939513512E9,-2.9067944461999965E8,2.730376993300004E8,2023-05-03T00:00:00.000Z,2,5,3,0,0,0,0,0,0
2023-05-04,1.4035430571400003E9,1.74540528073E9,2.0360847253499997E9,2.5638111662E8,1.3199718334999998E9,1.7283443544066668E9,3.166157717340195E8,2.0360847253499997E9,1.4035430571400003E9,1.74540528073E9,1.1908361850557144E9,8.038442606958888E8,1.451220180722721E9,1.3243106097485135E9,-3.418622235899997E8,8.357122364000058E7,2023-05-04T00:00:00.000Z,3,5,4,0,0,0,0,0,0
2023-05-05,8.8539526017E8,1.4035430571400003E9,1.74540528073E9,2.0360847253499997E9,1.9337210420900009E9,1.344781199346667E9,4.3300580344193506E8,1.74540528073E9,8.8539526017E8,1.4035430571400003E9,1.0410753590671427E9,7.372710588719562E8,1.1683077204463606E9,1.2145817723538852E9,-5.181477969700004E8,-1.0483257819200009E9,2023-05-05T00:00:00.000Z,4,5,5,0,0,1,0,0,0
2023-05-06,5.937049025E8,8.8539526017E8,1.4035430571400003E9,1.74540528073E9,9.1343965291E8,9.608810732700001E8,4.101622120115491E8,1.4035430571400003E9,5.937049025E8,8.8539526017E8,9.953989661514285E8,7.561588024720049E8,8.810063114731803E8,1.0593625548904139E9,-2.9169035766999996E8,-3.1973475040999997E8,2023-05-06T00:00:00.000Z,5,5,6,1,0,0,0,0,0
2023-05-07,2.919864899E7,5.937049025E8,8.8539526017E8,1.4035430571400003E9,4.727842055E7,5.0276627055333346E8,4.352821330290034E8,8.8539526017E8,2.919864899E7,5.937049025E8,9.928161416428572E8,7.599583973645728E8,4.5510248023159015E8,8.018215784153104E8,-5.6450625351E8,-1.807977156E7,2023-05-07T00:00:00.000Z,6,5,7,1,0,0,0,0,0
2023-05-08,2.29934796787E9,2.919864899E7,5.937049025E8,8.8539526017E8,2.5638111662E8,9.740838397866668E8,1.1819097192473428E9,2.29934796787E9,2.919864899E7,5.937049025E8,1.2846685489642856E9,8.199252676919612E8,1.377225224050795E9,1.1762031757789826E9,2.27014931888E9,2.04296685125E9,2023-05-08T00:00:00.000Z,0,5,8,0,1,0,0,0,0
2023-05-09,1.9624159182699997E9,2.29934796787E9,2.919864899E7,5.937049025E8,2.0360847253499997E9,1.4303208450433333E9,1.2250462675821269E9,2.29934796787E9,2.919864899E7,1.9624159182699997E9,1.2741444336671429E9,8.090740175292556E8,1.6698205711603975E9,1.372756361401737E9,-3.3693204960000014E8,-7.366880707999992E7,2023-05-09T00:00:00.000Z,1,5,9,0,0,0,0,0,0
2023-05-10,1.22578473464E9,1.9624159182699997E9,2.29934796787E9,2.919864899E7,1.74540528073E9,1.8291828735933335E9,5.490426095315117E8,2.29934796787E9,1.22578473464E9,1.9624159182699997E9,1.1999129270828571E9,7.820149458900776E8,1.447802652900199E9,1.3360134547113028E9,-7.366311836299996E8,-5.196205460899999E8,2023-05-10T00:00:00.000Z,2,5,10,0,0,0,0,0,0
2023-05-11,1.8739943866399994E9,1.22578473464E9,1.9624159182699997E9,2.29934796787E9,1.4035430571400003E9,1.6873983465166664E9,4.022063361215405E8,1.9624159182699997E9,1.22578473464E9,1.8739943866399994E9,1.2671202598685715E9,8.216433795310445E8,1.6608985197700992E9,1.470508687693477E9,6.482096519999993E8,4.7045132949999905E8,2023-05-11T00:00:00.000Z,3,5,11,0,0,0,0,0,0
2023-05-12,1.7789651723000004E9,1.8739943866399994E9,1.22578473464E9,1.9624159182699997E9,8.8539526017E8,1.6262480978600004E9,3.500511631970723E8,1.8739943866399994E9,1.22578473464E9,1.7789651723000004E9,1.3947731044585712E9,8.218669353598558E8,1.71993184603505E9,1.5476228088451078E9,-9.502921433999896E7,8.935699121300005E8,2023-05-12T00:00:00.000Z,4,5,12,0,0,1,0,0,0
2023-05-13,9.389368992999998E7,1.7789651723000004E9,1.8739943866399994E9,1.22578473464E9,5.937049025E8,1.2489510829566667E9,1.0014368795803803E9,1.8739943866399994E9,9.389368992999998E7,1.7789651723000004E9,1.323371502662857E9,9.19028583379294E8,9.06912767982525E8,1.1841905291163309E9,-1.6850714823700004E9,-4.9981121257000005E8,2023-05-13T00:00:00.000Z,5,5,13,1,0,0,0,0,0
2023-05-14,1.880230707E7,9.389368992999998E7,1.7789651723000004E9,1.8739943866399994E9,2.919864899E7,6.305537231000003E8,9.95261936092802E8,1.7789651723000004E9,1.880230707E7,9.389368992999998E7,1.3218863109599998E9,9.214737464838775E8,4.628575375262625E8,8.928434736047481E8,-7.509138285999998E7,-1.0396341919999998E7,2023-05-14T00:00:00.000Z,6,5,14,1,0,0,0,0,0
2023-05-15,2.4579385558E9,1.880230707E7,9.389368992999998E7,1.7789651723000004E9,2.29934796787E9,8.568781842666669E8,1.387067198774378E9,2.4579385558E9,1.880230707E7,9.389368992999998E7,1.3445421092357142E9,9.509883988656567E8,1.4603980466631312E9,1.284117244153561E9,2.43913624873E9,1.585905879300003E8,2023-05-15T00:00:00.000Z,0,5,15,0,1,0,0,0,0
2023-05-16,1.6499054886099997E9,2.4579385558E9,1.880230707E7,9.389368992999998E7,1.9624159182699997E9,1.3755487838266668E9,1.2424975295998945E9,2.4579385558E9,1.880230707E7,1.6499054886099997E9,1.2998977621414285E9,9.241032170111747E8,1.5551517676365654E9,1.3755643052676706E9,-8.080330671900005E8,-3.125104296600001E8,2023-05-16T00:00:00.000Z,1,5,16,0,0,0,0,0,0
2023-05-17,1.4230595749299994E9,1.6499054886099997E9,2.4579385558E9,1.880230707E7,1.22578473464E9,1.84363453978E9,5.439594058494182E8,2.4579385558E9,1.4230595749299994E9,1.6499054886099997E9,1.328079882182857E9,9.244743553497618E8,1.4891056712832823E9,1.3874381226832528E9,-2.268459136800003E8,1.9727484028999925E8,2023-05-17T00:00:00.000Z,2,5,17,0,0,0,0,0,0
2023-05-18,1.41876739771E9,1.4230595749299994E9,1.6499054886099997E9,2.4579385558E9,1.8739943866399994E9,1.49724415375E9,1.3222601131112109E8,1.6499054886099997E9,1.41876739771E9,1.4230595749299994E9,1.2630474551928573E9,8.952200907756778E8,1.4539365344966412E9,1.3952704414399395E9,-4292177.219999313,-4.5522698892999935E8,2023-05-18T00:00:00.000Z,3,5,18,0,0,0,0,0,0
2023-05-19,1.9447968982999985E9,1.41876739771E9,1.4230595749299994E9,1.6499054886099997E9,1.7789651723000004E9,1.5955412903133328E9,3.024718424563223E8,1.9447968982999985E9,1.41876739771E9,1.4230595749299994E9,1.2867377017642853E9,9.131626984866043E8,1.6993667163983197E9,1.5326520556549542E9,5.260295005899985E8,1.658317259999981E8,2023-05-19T00:00:00.000Z,4,5,19,0,0,1,0,0,0
2023-05-20,4.0017066421999997E8,1.9447968982999985E9,1.41876739771E9,1.4230595749299994E9,9.389368992999998E7,1.2545783200766664E9,7.852936334025657E8,1.9447968982999985E9,4.0017066421999997E8,1.41876739771E9,1.3304915552342854E9,8.517550666203715E8,1.0497686903091599E9,1.2495317077962158E9,-1.5446262340799985E9,3.0627697428999996E8,2023-05-20T00:00:00.000Z,5,5,20,1,0,0,0,0,0
2023-05-21,4.7850186559999995E7,4.0017066421999997E8,1.9447968982999985E9,1.41876739771E9,1.880230707E7,7.976059163599997E8,1.0089934546507171E9,1.9447968982999985E9,4.7850186559999995E7,4.0017066421999997E8,1.3346412523042853E9,8.44337987031387E8,5.4880943843458E8,9.491113274871618E8,-3.5232047765999997E8,2.9047879489999995E7,2023-05-21T00:00:00.000Z,6,5,21,1,0,0,0,0,0
2023-05-22,1.7494611054499998E9,4.7850186559999995E7,4.0017066421999997E8,1.9447968982999985E9,2.4579385558E9,7.324939854100002E8,8.981642512238412E8,1.7494611054499998E9,4.7850186559999995E7,4.0017066421999997E8,1.2334301879685712E9,7.206493298616878E8,1.1491352719422898E9,1.1491987719778714E9,1.7016109188899999E9,-7.084774503500004E8,2023-05-22T00:00:00.000Z,0,5,22,0,1,0,0,0,0
2023-05-23,1.6476521357399998E9,1.7494611054499998E9,4.7850186559999995E7,4.0017066421999997E8,1.6499054886099997E9,1.1483211425833333E9,9.543943159756008E8,1.7494611054499998E9,4.7850186559999995E7,1.6476521357399998E9,1.2331082804157138E9,7.204327588771994E8,1.3983937038411448E9,1.2738121129184036E9,-1.0180896971000004E8,-2253352.8699998856,2023-05-23T00:00:00.000Z,1,5,23,0,0,0,0,0,0
2023-05-24,1.1407119558700001E9,1.6476521357399998E9,1.7494611054499998E9,4.7850186559999995E7,1.4230595749299994E9,1.5126083990200002E9,3.2606976231945777E8,1.7494611054499998E9,1.1407119558700001E9,1.6476521357399998E9,1.1927729062642856E9,7.159151660668126E8,1.2695528298555725E9,1.2405370736563027E9,-5.0694017986999965E8,-2.823476190599992E8,2023-05-24T00:00:00.000Z,2,5,24,0,0,0,0,0,0
2023-05-25,1.5236921655000005E9,1.1407119558700001E9,1.6476521357399998E9,1.7494611054499998E9,1.41876739771E9,1.4373520857033336E9,2.6426888489969325E8,1.6476521357399998E9,1.1407119558700001E9,1.5236921655000005E9,1.2077621588057141E9,7.225035700204629E8,1.3966224976777864E9,1.311325846617227E9,3.8298020963000035E8,1.0492476779000044E8,2023-05-25T00:00:00.000Z,3,5,25,0,0,0,0,0,0
